Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Year
spotify:track:0sf12qNH5qcw8qpgymFOqD,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,26,False,,Republic Records,0.512,0.796,-4.075,1,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4,2020
spotify:track:696DnlkuDOXcMAnKlTgXXK,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,77,True,,Arizona Zervas,0.621,0.601,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,5,2020
spotify:track:7igeByaBM0MgGsgXtNxDJ7,positions,positions,Ariana Grande,2020-10-23,172324,2,True,pop,Republic Records,0.736,0.802,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,4,2020
spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Say So,Hot Pink,Doja Cat,2019-11-07,237893,79,True,,Kemosabe Records/RCA Records,0.787,0.673,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,4,2020
spotify:track:6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,88,False,,Columbia,0.548,0.816,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4,2020
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,77,False,pop,Warner Records,0.794,0.793,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,4,2020
spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,86,False,,Darkroom/Interscope Records,0.704,0.225,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4,2020
spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,august,folklore,Taylor Swift,2020-07-24,261922,87,False,,Taylor Swift,0.532,0.623,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4,2020
spotify:track:1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,80,True,"brooklyn drill,drill,new york drill",Victor Victor Worldwide,0.709,0.548,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4,2020
spotify:track:47EiUVwUp4C9fGccaPuUCS,DÁKITI,DÁKITI,"Bad Bunny,JHAYCO",2020-10-30,205090,82,True,"reggaeton,trap latino,urbano latino,latin",Rimas Entertainment LLC,0.731,0.573,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,2020
spotify:track:4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),"Cardi B,Megan Thee Stallion",2020-08-07,187541,80,True,,Atlantic/KSR,0.935,0.454,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4,2020
spotify:track:7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,"DaBaby,Roddy Ricch",2020-04-17,181733,78,True,melodic rap,South Coast Music Group/Interscope Records,0.746,0.69,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4,2020
spotify:track:22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,Certified Hitmaker,Lil Mosey,2020-02-06,162546,76,True,melodic rap,Mogul Vision/Interscope Records,0.774,0.554,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,4,2020
spotify:track:3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),Mood (feat. iann dior),"24kGoldn,iann dior",2020-07-24,140525,9,True,melodic rap,Records/Columbia,0.7,0.722,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,4,2020
